PM2.5,PM10,NO2,SO2,CO,O3,Temp_C,Humidity,AQI
57.95,96.43,42.84,14.74,3.37,41.19,30.0,44.3,147.0
40.16,51.35,60.08,27.29,0.36,77.69,33.4,83.9,84.0
137.6,245.2,67.92,6.56,0.52,49.98,25.0,52.9,278.0
147.16,216.66,66.63,31.67,0.35,70.44,30.2,59.1,269.0
178.39,239.33,43.09,17.92,0.81,19.76,21.6,69.2,313.0
80.15,99.71,27.51,40.92,1.99,49.84,27.4,41.1,162.0
73.24,95.35,47.29,40.52,2.33,70.76,33.5,76.5,163.0
141.99,214.67,25.69,18.01,0.35,50.82,32.5,64.1,249.0
67.94,95.26,81.76,41.04,3.32,60.26,37.8,52.5,182.0
168.23,285.54,40.94,44.85,2.98,36.04,25.0,42.8,353.0
155.93,227.43,26.58,38.02,1.18,16.47,29.0,47.3,279.0
82.93,111.89,16.91,38.79,0.45,42.05,25.9,80.3,142.0
137.65,216.15,63.44,14.96,0.76,37.61,27.9,70.9,272.0
138.27,224.56,62.77,28.07,0.62,70.69,35.4,51.2,267.0
27.53,35.8,40.55,7.69,0.61,27.08,32.3,43.0,53.0
163.43,212.56,20.38,8.8,1.91,77.67,35.9,71.1,287.0
95.89,117.18,45.72,44.96,1.01,77.07,23.7,65.8,177.0
150.5,247.09,38.34,18.07,1.38,27.33,35.7,58.2,287.0
64.41,102.94,65.78,34.93,3.47,34.36,21.1,56.4,171.0
162.24,240.89,60.43,37.27,2.46,72.69,36.0,49.8,323.0
76.16,129.97,42.34,39.32,3.33,77.66,25.9,70.1,196.0
11.84,19.94,31.34,44.91,0.67,41.04,25.7,83.7,37.0
163.91,254.27,89.1,14.66,1.46,32.47,29.2,47.9,332.0
25.52,43.92,49.05,6.61,2.03,46.83,36.9,66.9,92.0
64.28,85.08,66.62,21.45,0.45,58.14,20.9,59.1,137.0
171.51,217.33,25.54,10.2,0.21,29.14,26.3,60.1,287.0
171.6,233.7,51.42,5.9,2.41,61.55,35.4,51.4,317.0
107.48,132.66,17.07,19.42,2.32,13.62,27.1,77.1,207.0
117.41,178.31,52.91,36.35,1.56,13.45,23.6,61.8,240.0
86.24,151.94,87.3,27.65,1.82,37.04,27.6,64.5,203.0
59.85,73.23,43.82,17.51,1.57,34.74,26.9,53.7,136.0
65.87,83.87,17.92,31.17,0.28,32.09,36.5,48.2,119.0
124.33,182.93,17.32,14.28,1.31,44.37,33.7,43.9,234.0
137.9,242.76,44.1,5.58,0.78,32.45,29.1,72.1,277.0
144.57,200.91,27.0,35.57,0.52,23.46,37.8,48.8,255.0
144.24,216.98,16.75,29.95,3.36,31.66,28.4,71.1,278.0
25.51,31.24,71.72,35.49,2.18,78.24,21.0,57.6,86.0
94.05,121.23,49.39,6.56,2.6,38.78,24.7,58.7,204.0
19.78,35.45,36.69,38.48,1.24,41.13,27.8,61.1,58.0
103.42,183.99,82.51,29.78,1.5,50.36,22.8,56.5,229.0
85.06,102.32,23.71,27.54,0.98,78.83,37.1,44.5,148.0
160.91,284.99,86.69,29.98,0.52,26.91,33.8,53.9,332.0
69.66,110.3,38.55,39.58,0.79,57.69,24.8,69.9,150.0
29.9,51.45,81.63,28.48,2.83,60.12,30.6,70.0,108.0
34.31,50.53,60.22,28.24,2.44,52.51,33.0,52.9,106.0
139.46,210.49,77.0,44.63,2.0,16.2,36.9,60.7,281.0
115.1,171.88,88.8,35.27,1.77,57.38,35.9,48.7,246.0
27.19,43.51,36.63,22.69,3.24,14.49,29.3,49.5,100.0
24.3,31.19,87.09,33.3,0.44,51.73,33.9,41.0,75.0
129.16,157.32,44.21,20.57,1.13,61.77,30.1,80.4,233.0
22.37,30.98,43.91,14.16,1.35,24.77,29.9,49.5,81.0
149.72,242.96,40.53,28.87,2.78,68.91,22.1,50.2,302.0
130.06,171.83,55.61,42.13,3.48,12.12,22.3,52.6,262.0
23.83,38.22,26.56,42.17,0.99,69.07,29.5,45.7,59.0
24.42,43.52,56.53,18.68,3.09,42.22,24.8,68.8,90.0
177.73,223.29,55.63,26.11,2.94,25.23,20.4,43.4,329.0
73.63,118.06,72.14,13.47,0.94,19.36,33.0,46.0,156.0
73.01,107.05,77.52,44.83,1.52,76.73,20.6,69.0,160.0
148.18,254.99,48.03,44.24,1.55,15.09,30.7,55.3,293.0
171.03,223.42,37.67,30.98,3.43,23.94,29.7,71.9,333.0
177.62,286.96,34.45,37.18,0.8,34.35,37.4,65.1,328.0
138.07,235.12,29.6,33.6,2.84,53.42,28.7,51.5,288.0
73.96,130.68,19.32,28.73,1.3,48.14,21.1,69.3,160.0
24.2,38.95,40.68,7.13,2.61,18.8,29.9,45.2,82.0
142.11,212.93,35.27,23.19,1.59,30.28,35.1,64.1,270.0
104.93,164.81,87.48,31.99,2.11,26.71,37.9,59.7,235.0
82.12,141.35,56.83,32.1,2.95,24.95,27.7,52.1,190.0
164.08,253.07,41.05,19.92,2.85,38.78,25.8,67.2,316.0
28.9,35.21,58.54,42.67,3.06,59.28,36.3,79.2,102.0
93.75,164.86,25.44,11.69,0.4,25.22,23.4,85.0,184.0
11.93,19.25,48.3,25.01,2.48,35.67,31.1,67.3,75.0
89.67,144.01,61.97,32.64,0.66,37.36,27.3,58.2,184.0
19.57,26.02,51.67,32.89,1.57,78.35,20.7,50.1,70.0
30.2,48.18,45.13,30.95,2.01,76.83,26.3,51.6,89.0
29.98,43.06,89.54,16.01,1.53,66.01,24.8,61.6,97.0
120.37,191.47,81.02,11.25,1.91,26.92,32.3,56.5,265.0
136.83,172.94,61.76,30.44,3.49,14.76,37.1,81.1,269.0
109.17,174.1,57.7,28.97,0.65,32.18,24.8,56.6,217.0
173.57,312.36,61.55,12.17,2.43,28.68,34.6,56.8,374.0
73.73,90.61,30.1,33.21,1.51,45.41,21.0,57.3,146.0
58.57,104.63,44.64,23.21,0.64,64.44,29.7,77.6,136.0
157.66,227.69,17.96,31.71,0.72,70.08,21.3,69.3,275.0
48.01,82.7,50.67,38.49,3.33,69.14,36.8,67.6,141.0
173.75,290.06,55.73,11.79,3.1,35.18,33.8,55.0,361.0
12.07,18.58,32.08,5.77,3.19,58.11,31.8,76.8,58.0
174.88,287.34,87.3,36.16,3.47,31.9,34.8,41.7,369.0
17.34,29.94,83.21,29.39,0.89,14.26,31.7,79.2,61.0
161.49,232.95,69.16,32.99,1.37,59.11,37.4,63.1,312.0
99.71,139.22,55.0,38.53,2.41,10.69,32.9,57.9,215.0
178.8,286.19,80.25,37.11,1.8,38.64,36.6,62.4,358.0
22.55,37.98,24.8,43.44,1.58,33.06,29.3,70.0,71.0
104.16,172.62,74.29,26.44,1.38,58.54,22.1,40.6,222.0
174.78,293.4,24.36,24.54,2.16,63.64,29.5,79.2,349.0
98.93,144.57,74.57,21.08,2.1,31.29,22.3,60.1,214.0
117.0,197.81,35.68,11.15,0.73,66.81,30.7,55.4,228.0
128.28,163.18,80.78,27.9,1.76,30.57,28.7,46.2,250.0
87.27,133.24,85.8,16.08,2.03,41.24,31.2,59.8,203.0
116.68,140.43,26.16,41.85,2.08,60.89,20.2,62.3,215.0
109.33,152.49,49.7,28.33,0.89,58.5,23.5,58.2,212.0
163.2,231.72,88.57,28.71,2.65,79.12,28.8,70.5,325.0
17.73,25.48,51.26,19.2,0.28,25.76,37.1,58.9,43.0
57.76,93.42,79.77,7.08,1.37,56.36,26.9,83.3,145.0
171.57,245.88,59.15,6.27,2.77,52.68,27.6,67.0,338.0
161.34,237.05,43.15,21.93,2.06,74.06,32.9,76.3,308.0
87.46,117.42,36.43,8.38,1.06,20.95,30.9,44.9,171.0
115.42,164.36,30.24,29.27,2.49,62.63,25.4,57.9,229.0
57.15,76.38,72.13,40.24,2.07,49.78,27.4,55.2,139.0
41.98,52.22,43.99,40.32,2.83,29.23,23.9,65.6,121.0
88.83,138.76,53.35,31.36,2.63,43.21,37.4,78.8,208.0
70.07,112.18,51.92,13.45,2.21,33.36,22.4,43.5,172.0
109.22,171.66,58.3,39.52,1.81,50.55,26.7,43.3,227.0
23.21,34.31,79.92,40.44,0.64,72.23,20.5,78.3,77.0
175.65,250.8,88.56,12.87,1.06,49.85,24.0,49.6,328.0
177.66,305.21,45.57,34.5,1.58,54.22,34.0,70.1,346.0
128.69,194.5,77.06,16.46,2.18,46.31,23.6,64.4,257.0
101.14,150.44,72.34,37.11,1.9,13.58,21.4,77.5,224.0
62.62,76.11,58.01,44.89,1.15,26.3,28.5,45.6,126.0
148.35,208.39,86.7,6.2,0.22,44.44,20.2,45.8,275.0
126.4,180.52,30.04,40.89,1.84,31.72,21.5,65.1,238.0
37.64,54.18,23.19,29.91,1.14,22.72,34.5,82.6,87.0
164.86,255.22,79.05,43.94,2.62,45.29,33.9,58.7,337.0
149.83,227.77,47.94,23.6,0.28,32.6,36.5,54.7,267.0
171.47,268.3,78.52,38.9,2.13,28.07,35.4,67.3,347.0
133.37,221.26,81.98,7.5,3.31,42.48,32.3,81.9,292.0
114.28,192.88,19.68,18.41,0.78,19.33,20.9,77.7,214.0
81.1,132.27,81.26,7.68,1.76,74.94,34.1,84.8,177.0
168.56,298.92,48.62,44.01,0.5,70.74,35.2,41.0,318.0
157.23,190.4,53.28,37.68,2.26,59.53,34.4,45.1,293.0
17.69,23.3,61.99,39.1,2.02,17.43,29.2,67.4,62.0
14.48,17.44,84.48,42.52,1.54,64.31,24.2,76.9,59.0
74.0,117.55,16.43,8.4,1.92,66.56,35.2,52.8,156.0
147.79,256.99,50.76,20.42,3.16,63.74,33.1,50.8,316.0
177.84,239.38,66.58,7.84,0.85,17.98,37.7,75.4,331.0
35.57,62.47,69.2,13.43,0.27,55.07,22.8,42.5,97.0
111.0,137.22,66.94,14.17,3.04,68.4,24.1,56.6,229.0
74.75,131.61,25.08,23.76,2.1,50.41,23.8,62.8,170.0
174.89,246.76,37.45,15.74,3.14,55.25,34.3,65.2,344.0
153.16,193.11,41.9,9.04,2.17,42.09,23.4,72.8,281.0
152.52,227.48,75.33,11.7,2.87,47.01,21.2,56.0,308.0
89.68,121.43,35.91,10.89,1.62,12.41,38.0,67.6,177.0
80.52,110.39,30.8,43.92,2.67,54.73,20.4,66.3,173.0
56.48,78.19,86.81,35.37,3.21,15.7,35.0,64.6,156.0
19.58,32.94,15.66,43.71,2.09,40.45,26.6,68.8,67.0
157.0,239.19,89.84,22.59,0.8,30.49,35.1,51.7,301.0
148.19,205.51,65.76,16.13,1.09,48.18,30.0,43.8,272.0
179.95,281.84,77.14,36.93,0.86,19.34,36.2,45.4,345.0
179.43,292.41,37.1,18.05,1.01,58.42,36.7,50.1,340.0
104.42,142.39,16.07,16.98,1.21,65.65,20.2,62.5,185.0
140.73,203.79,70.34,14.3,2.03,21.43,21.4,77.8,286.0
170.61,217.21,77.56,10.19,2.14,17.3,24.5,71.6,315.0
154.44,202.11,70.54,15.26,1.61,20.19,32.0,75.5,288.0
52.05,83.73,25.71,19.21,2.23,71.4,36.0,55.8,124.0
86.59,113.34,71.51,31.96,0.47,46.97,28.3,58.2,164.0
31.96,48.42,72.67,7.5,0.49,42.71,30.9,57.7,79.0
172.19,279.88,64.39,13.42,0.77,17.47,23.4,48.6,339.0
113.05,142.91,72.46,37.36,1.91,55.47,34.5,42.8,222.0
48.87,75.28,78.44,10.88,0.91,70.76,37.4,66.6,130.0
124.19,168.14,61.02,18.71,1.13,67.97,24.8,84.5,238.0
115.08,204.59,21.65,39.59,1.52,53.82,28.9,47.5,234.0
70.89,105.63,51.57,11.2,2.88,15.27,21.6,42.1,173.0
29.3,49.34,20.82,8.31,0.25,17.87,30.1,75.1,74.0
124.17,189.99,45.57,24.38,2.34,13.45,29.1,51.4,249.0
98.45,120.71,45.53,17.1,2.41,28.02,22.6,77.3,194.0
141.29,223.23,19.95,27.54,2.84,19.5,28.0,71.7,281.0
98.43,174.3,41.16,37.15,3.28,28.2,26.0,82.6,230.0
154.87,241.75,23.32,10.49,0.27,36.95,29.4,58.4,269.0
103.82,175.62,75.62,28.23,0.71,76.01,30.5,69.8,216.0
105.36,182.33,86.08,25.22,3.12,52.73,20.2,60.9,261.0
159.03,212.6,20.42,10.76,1.71,68.45,33.7,68.4,287.0
78.59,104.31,86.63,29.96,2.06,59.72,32.8,60.2,177.0
32.78,51.36,54.19,15.95,2.39,17.88,26.6,48.5,98.0
14.89,21.54,37.47,24.51,2.44,61.51,21.0,62.9,70.0
138.37,235.78,20.76,8.29,3.27,29.26,33.6,63.8,288.0
115.45,200.89,52.55,23.38,3.49,54.74,37.2,76.5,274.0
129.69,183.13,74.59,17.26,2.58,33.87,24.3,73.1,279.0
46.2,62.01,68.03,37.9,1.15,79.84,25.8,69.9,111.0
33.18,55.36,18.77,7.28,3.1,28.45,23.3,45.1,101.0
12.47,17.02,20.47,21.74,0.36,29.54,30.4,72.4,36.0
69.6,117.87,45.22,23.34,0.96,75.15,22.8,62.5,154.0
110.29,160.38,37.15,34.0,3.16,11.73,26.4,80.2,231.0
76.68,122.73,32.43,27.97,1.05,58.77,32.5,81.4,153.0
84.37,106.08,36.08,31.69,0.93,60.77,30.1,42.5,151.0
163.71,257.73,75.26,36.08,0.66,68.55,27.0,76.9,316.0
69.2,101.8,84.69,39.49,3.04,78.21,27.6,41.7,182.0
97.38,151.13,45.38,17.56,1.85,78.29,30.1,56.5,197.0
143.22,186.3,82.96,26.52,2.43,14.57,20.1,64.4,284.0
77.41,127.12,39.11,38.6,0.99,67.53,21.4,46.7,153.0
115.75,198.83,50.73,44.58,2.7,55.24,35.9,73.6,250.0
156.6,208.29,31.95,40.58,2.71,55.31,21.4,40.4,300.0
171.42,215.55,63.04,19.86,1.23,18.98,32.7,47.6,305.0
35.0,42.5,88.42,12.81,1.56,55.51,36.6,66.1,99.0
167.52,265.55,60.26,24.58,0.89,78.77,24.9,72.1,311.0
93.66,146.51,41.84,34.67,3.42,73.83,26.7,81.2,216.0
53.9,82.36,63.59,24.7,2.33,40.74,30.2,71.7,139.0
88.05,117.92,24.22,24.33,3.28,12.8,35.9,70.2,187.0
176.61,253.35,81.65,38.53,1.2,35.36,37.0,57.7,334.0
93.75,145.93,52.73,19.46,2.78,67.85,33.3,40.1,212.0
65.89,98.7,48.7,39.39,2.73,59.1,21.6,45.4,155.0
117.68,210.96,58.94,21.27,2.48,42.15,32.0,64.1,254.0
50.82,65.15,61.86,18.13,3.39,13.86,27.4,70.4,150.0
22.9,37.03,20.38,23.16,1.5,39.88,28.5,58.8,61.0
31.91,46.03,66.2,35.5,0.63,42.83,20.9,72.9,80.0
31.77,46.28,33.14,10.04,2.42,75.0,23.4,63.5,97.0
35.82,58.41,68.55,12.86,2.61,54.88,34.2,43.3,132.0
33.6,54.28,76.69,43.06,2.1,31.82,28.2,48.6,101.0
118.95,213.48,75.3,12.02,0.88,46.77,25.4,77.8,252.0
40.92,52.26,56.44,27.71,1.86,14.62,26.9,72.6,102.0
68.76,86.81,54.01,28.17,1.23,78.08,35.4,80.3,139.0
162.45,265.55,25.72,24.58,1.61,35.2,33.5,45.3,308.0
90.57,140.12,73.15,30.79,2.33,43.45,24.9,84.6,200.0
123.48,168.49,35.36,14.19,2.66,34.87,22.1,49.4,246.0
39.29,49.03,52.25,27.11,0.97,57.78,24.5,40.5,83.0
42.69,53.42,36.32,19.89,1.54,56.36,36.6,84.9,102.0
16.95,29.43,25.04,31.47,1.09,60.07,30.5,52.6,51.0
38.72,50.92,62.22,10.65,0.86,28.77,29.6,70.1,94.0
57.36,79.96,19.07,27.84,2.79,32.1,30.7,48.0,132.0
40.09,53.56,71.15,12.41,3.2,18.77,26.6,66.1,123.0
25.08,35.44,38.82,16.15,1.42,55.89,34.5,80.7,72.0
30.51,37.88,15.01,13.75,2.68,12.79,29.4,54.4,80.0
88.33,133.51,53.33,12.31,3.16,51.84,22.1,70.2,203.0
45.08,55.92,18.51,38.03,2.99,70.88,22.3,48.5,109.0
71.93,120.85,35.71,16.43,0.8,72.36,29.7,68.1,143.0
95.58,128.1,68.02,42.08,3.36,41.43,36.9,55.1,207.0
127.37,194.11,19.7,43.8,1.44,42.15,25.6,49.5,248.0
16.68,28.83,77.95,27.85,1.32,15.39,35.7,54.1,66.0
145.9,232.06,15.29,10.72,0.41,56.95,33.8,48.0,269.0
116.74,177.42,33.51,19.98,1.8,67.49,24.5,80.6,236.0
23.9,33.33,70.57,36.91,0.56,27.13,20.7,57.9,61.0
158.51,221.88,38.72,19.7,1.02,39.49,21.8,51.0,282.0
166.55,266.76,22.64,8.48,1.25,68.72,33.1,60.2,324.0
20.38,36.62,42.02,27.27,2.87,71.4,23.6,54.4,93.0
57.07,91.15,35.28,38.8,3.09,27.02,26.7,73.5,147.0
147.05,225.68,78.2,36.84,1.2,48.54,29.0,83.7,291.0
137.2,224.79,38.5,12.0,3.03,23.47,33.1,59.7,286.0
41.37,61.19,74.17,31.91,3.03,17.13,22.0,78.7,131.0
45.59,56.35,81.89,13.82,2.72,73.78,27.3,65.5,126.0
72.98,112.2,47.54,13.73,0.68,67.44,28.7,47.1,137.0
92.37,163.92,83.25,39.96,2.48,63.2,29.7,71.1,215.0
115.1,150.23,43.3,14.99,3.32,13.41,34.7,63.1,240.0
72.72,117.36,87.31,15.53,2.45,69.06,23.1,69.3,177.0
88.63,117.04,21.7,5.03,1.29,40.66,34.5,80.0,166.0
137.07,208.55,66.53,39.83,1.85,33.97,32.5,59.8,271.0
16.24,20.43,52.04,36.7,2.33,48.25,30.0,80.6,66.0
52.91,77.8,44.07,30.09,1.88,16.39,32.6,73.8,129.0
131.27,217.08,62.45,35.01,0.6,62.97,27.4,62.0,258.0
162.19,228.44,67.79,11.08,1.23,50.77,22.5,67.1,305.0
96.99,155.07,15.33,23.33,2.85,23.06,32.0,54.7,212.0
100.46,168.5,27.52,19.05,3.04,23.18,29.4,84.3,225.0
28.22,49.56,68.48,8.75,0.65,22.9,31.5,70.0,86.0
86.06,115.39,64.98,24.45,3.34,13.99,26.1,42.0,198.0
100.54,144.74,87.45,41.83,1.29,51.15,36.3,54.7,208.0
51.22,66.15,72.08,6.6,2.39,68.82,30.6,68.0,127.0
55.77,100.14,86.31,16.66,2.68,11.22,21.5,42.5,157.0
74.14,130.2,67.69,13.3,2.88,13.43,28.1,41.1,193.0
13.41,20.44,37.35,14.53,3.32,50.09,33.6,60.3,80.0
64.75,110.42,22.9,41.34,1.23,67.36,34.3,55.0,142.0
45.95,69.5,73.64,23.72,3.03,32.87,28.9,59.7,128.0
65.67,103.38,63.31,23.65,0.63,34.47,36.1,51.8,146.0
30.36,38.05,18.61,35.42,2.53,51.74,24.8,47.4,75.0
161.39,266.8,42.0,11.18,2.65,29.19,27.4,71.0,333.0
110.91,141.59,86.76,24.49,2.44,11.86,36.2,63.2,232.0
125.45,212.71,52.53,22.2,1.03,61.47,36.1,49.0,255.0
144.16,240.63,47.45,28.88,3.08,53.8,32.3,54.4,299.0
94.74,153.97,49.33,44.98,0.76,50.65,35.5,66.6,196.0
24.78,30.27,30.67,35.78,0.38,61.92,21.6,43.3,46.0
101.31,140.0,42.65,20.91,2.57,57.27,35.6,46.6,208.0
109.76,149.04,42.74,38.1,1.77,24.41,25.8,43.3,209.0
136.72,193.61,18.93,11.83,3.0,34.67,23.2,76.6,261.0
83.38,104.44,72.57,6.22,1.47,18.83,24.3,73.9,173.0
31.69,55.84,46.24,13.18,0.76,19.09,27.5,73.9,89.0
58.24,89.24,76.66,18.62,2.96,57.33,24.5,72.2,172.0
71.72,99.22,78.78,25.42,2.01,70.1,25.8,70.1,167.0
119.81,172.3,30.9,29.61,0.82,77.39,22.4,61.5,225.0
107.03,157.16,64.3,41.42,2.58,53.98,25.3,68.9,232.0
70.54,110.06,50.42,25.39,1.89,22.89,30.3,41.7,162.0
177.71,268.23,81.01,25.05,2.19,17.4,28.0,68.0,352.0
112.98,197.9,31.18,7.01,1.72,66.9,26.2,75.0,234.0
50.33,75.4,65.84,6.4,2.93,50.51,33.4,62.5,143.0
27.3,49.02,60.58,27.05,2.94,53.28,36.1,56.1,100.0
35.99,61.57,37.15,22.53,2.54,64.7,33.6,52.5,105.0
51.81,68.66,25.25,38.57,0.55,59.23,26.0,68.9,98.0
37.32,65.61,63.87,11.43,2.97,68.41,33.4,71.2,126.0
41.72,52.97,70.39,6.0,2.41,13.93,22.7,79.2,112.0
58.47,98.84,38.67,22.96,2.5,62.33,22.3,55.4,145.0
39.47,56.38,63.36,14.5,1.4,69.56,26.2,74.6,111.0
162.45,280.52,44.63,6.98,3.1,30.03,34.5,65.3,347.0
23.64,40.68,68.49,33.98,2.59,54.83,24.4,79.7,101.0
99.17,166.95,29.94,9.46,0.57,31.99,21.1,63.8,192.0
79.77,133.53,81.77,29.33,1.55,77.06,22.4,63.3,186.0
177.0,244.76,36.56,16.24,3.13,12.34,35.5,66.0,346.0
29.05,36.27,42.58,11.94,0.36,50.59,31.4,73.7,71.0
77.64,111.93,19.36,20.19,3.37,21.66,24.6,83.4,167.0
174.81,227.97,23.36,37.06,2.44,59.86,30.0,43.3,313.0
157.14,254.08,53.69,20.68,2.28,22.31,29.5,42.4,325.0
148.9,209.6,35.07,35.03,1.09,26.48,31.8,82.2,270.0
53.84,96.13,77.66,10.02,1.02,44.61,24.2,63.8,130.0
39.05,61.88,16.1,35.91,3.31,74.04,35.6,67.7,106.0
123.67,209.43,43.43,14.48,1.18,24.82,25.6,61.7,244.0
167.99,214.95,40.3,32.1,2.76,20.1,32.5,44.2,309.0
104.65,179.71,16.45,27.63,1.5,63.13,20.3,74.6,220.0
107.17,187.95,24.33,42.17,0.66,45.04,26.7,73.6,208.0
57.6,85.95,46.02,20.49,0.24,73.82,26.3,54.0,114.0
140.81,220.2,51.96,7.65,2.0,20.26,29.8,53.8,285.0
41.8,69.34,45.32,5.77,3.42,55.21,21.3,77.7,133.0
65.03,84.85,54.82,38.07,1.42,26.3,34.2,43.3,144.0
82.32,123.61,59.63,25.99,1.38,20.97,23.9,79.6,180.0
96.29,138.59,15.74,36.01,1.34,57.84,32.2,51.5,179.0
51.21,65.95,49.81,14.38,1.92,51.56,34.5,66.7,119.0
29.52,41.94,87.26,18.8,1.65,62.84,30.1,82.1,99.0
113.81,141.22,53.93,6.2,3.1,31.66,33.3,70.5,232.0
59.07,71.8,65.82,43.46,1.87,41.36,31.9,58.6,136.0
108.81,139.4,38.39,31.71,1.88,38.38,26.4,71.0,211.0
36.24,64.43,73.05,42.33,0.66,78.89,34.6,55.5,99.0
91.79,140.42,72.97,15.62,3.44,30.46,25.3,52.5,211.0
100.54,178.91,54.1,29.46,1.02,30.64,30.3,84.9,214.0
18.81,27.45,88.2,32.14,0.44,34.82,33.4,73.8,62.0
67.22,93.24,24.42,17.7,2.39,49.52,26.8,69.0,151.0
32.85,49.4,16.27,38.92,2.16,27.66,25.4,56.0,91.0
20.77,30.41,72.76,42.89,1.57,74.07,28.3,42.2,84.0
178.29,225.26,75.54,40.39,1.59,28.6,34.7,41.4,335.0
64.8,102.68,24.02,34.56,2.79,72.71,36.7,64.9,160.0
147.68,196.36,34.92,16.1,0.85,17.24,29.8,74.3,269.0
53.29,83.76,16.32,16.26,2.91,55.96,31.9,64.2,133.0
125.86,200.13,37.0,43.53,2.34,73.49,36.3,77.8,258.0
139.24,179.79,72.99,5.41,1.58,21.81,21.8,41.5,270.0
111.26,137.61,53.85,33.64,1.71,77.78,24.2,56.5,218.0
90.17,150.44,41.11,33.25,1.05,41.7,32.8,50.7,183.0
80.01,118.09,42.88,29.91,2.68,76.2,34.8,60.1,182.0
69.31,85.59,15.1,44.6,1.89,57.38,35.4,43.3,138.0
168.02,301.92,37.49,17.48,1.26,31.11,27.5,82.9,328.0
151.21,186.69,63.48,18.6,2.17,23.18,21.6,50.0,293.0
174.05,281.45,88.06,8.16,3.49,31.26,27.9,81.5,373.0
31.13,55.73,78.53,22.71,1.64,16.51,24.2,59.2,110.0
134.25,180.36,16.77,15.44,3.24,20.07,25.2,84.3,256.0
169.52,217.89,82.39,18.74,1.34,17.33,33.9,64.9,312.0
40.81,51.94,73.74,38.38,0.38,39.61,21.4,81.9,93.0
21.3,29.44,73.53,42.42,0.87,65.69,34.9,40.2,73.0
135.99,171.43,49.35,12.43,1.58,19.9,27.7,73.7,254.0
107.66,173.9,44.85,19.9,0.92,19.12,30.7,80.6,214.0
153.11,189.46,37.72,42.15,0.2,55.04,21.6,46.3,252.0
33.76,50.83,19.93,7.47,3.22,23.8,26.1,44.3,96.0
145.2,261.06,32.12,8.69,2.98,16.83,21.6,59.1,311.0
44.28,74.76,33.5,11.51,2.65,21.68,37.3,82.0,114.0
37.82,59.35,51.31,28.81,0.75,74.66,34.5,64.4,87.0
37.93,52.48,71.06,11.02,0.6,67.5,28.3,63.7,94.0
148.48,233.75,50.54,43.72,0.42,34.78,24.0,46.4,272.0
123.08,186.62,19.34,22.87,2.59,55.91,36.8,40.0,255.0
98.92,143.99,86.83,25.06,3.27,47.61,26.2,76.5,238.0
71.0,90.77,85.7,14.87,1.62,57.4,22.9,43.9,152.0
159.12,275.6,73.89,23.84,0.59,57.79,30.1,68.5,310.0
76.72,112.76,89.35,31.48,1.89,54.01,37.0,81.2,168.0
148.82,195.96,55.84,35.05,1.35,28.63,20.1,49.4,271.0
84.65,120.26,87.21,35.15,1.44,12.73,24.3,69.9,188.0
74.08,107.3,20.67,28.12,2.25,41.89,36.9,43.5,156.0
88.66,150.41,42.43,41.17,2.57,72.37,23.1,67.2,204.0
61.23,100.43,31.9,37.7,0.56,49.86,22.0,47.4,116.0
137.09,227.79,29.69,35.28,0.32,68.27,30.3,73.1,259.0
95.46,115.19,25.56,7.22,3.48,79.41,35.5,53.6,198.0
49.48,71.73,61.68,5.28,0.97,21.45,28.6,60.9,113.0
162.93,242.57,73.6,13.5,0.38,58.42,37.9,67.0,302.0
75.26,91.18,58.37,31.54,0.83,57.2,32.2,47.7,140.0
102.4,138.85,26.02,21.45,0.33,78.6,21.3,73.4,174.0
164.1,271.78,75.83,21.1,1.49,78.99,37.9,53.6,335.0
116.12,148.9,62.7,40.38,2.85,58.07,27.3,69.8,242.0
29.87,45.44,44.11,40.82,1.33,27.05,25.2,47.1,85.0
169.77,225.65,65.56,41.37,1.67,65.9,30.0,71.0,318.0
116.71,140.9,34.49,17.56,2.43,17.49,25.5,45.8,225.0
66.93,90.01,40.89,32.64,1.88,64.65,21.6,59.1,136.0
33.68,60.13,83.81,15.87,3.04,73.71,20.0,51.1,121.0
144.98,243.71,36.79,12.62,3.06,36.8,28.1,73.7,305.0
115.41,204.94,50.25,12.39,0.23,54.14,35.1,51.8,237.0
100.69,150.3,81.76,18.68,2.77,40.11,30.3,79.7,232.0
161.96,205.02,68.08,22.2,1.72,40.64,38.0,80.1,309.0
144.06,220.24,19.67,38.24,3.46,31.73,25.2,48.8,297.0
35.78,52.7,26.05,9.8,1.79,63.35,25.0,67.6,86.0
62.99,107.5,15.59,34.4,3.46,75.53,22.9,43.9,159.0
52.24,65.77,62.32,26.26,2.69,75.85,23.0,57.6,136.0
136.47,203.74,48.58,16.52,1.02,22.23,25.1,72.1,254.0
15.7,20.25,25.07,24.71,1.98,71.23,34.3,69.7,55.0
106.88,149.08,86.85,17.0,3.47,61.62,36.3,68.1,244.0
139.62,229.31,54.72,28.84,3.03,27.7,37.6,52.7,306.0
159.05,236.29,33.14,22.35,0.52,14.71,24.2,57.0,275.0
68.15,97.16,52.55,11.58,2.53,28.76,35.9,44.6,166.0
149.61,214.95,65.97,9.66,1.34,73.85,25.9,72.4,282.0
28.81,42.51,20.72,26.87,0.22,54.32,22.0,62.7,51.0
153.9,257.16,35.6,41.1,1.53,60.47,35.7,71.9,307.0
31.67,54.96,75.52,18.76,0.97,28.0,31.4,51.2,95.0
